FileName,FileExt,DateModified,Size_KB,Size_GB,Source,Path,SimplePath,ParentPath,FileNameClean,FileType,year,month,UsiaDokumen,Size_MB,SizeCategory,Source_Class,Path_modified,Folder_Root,Subfolder_L2,Filename,Path_Class,Path_Anomali,Subfolder_L3,Subfolder_L4,Subfolder_L5,Subfolder_L6,Path_Uniform
AKU FAJRI,docx,2018-10-06 17:28:03.000000,15.88,0.0,documents,C:\Users\ASUS\OneDrive\Documents\AKU FAJRI.docx,Users\ASUS\OneDrive\Documents\AKU FAJRI.docx,C:\Users\ASUS\OneDrive\Documents,Aku Fajri,document,2018,10,lama,0.0155078125,Kecil (<100KB),Lainnya,C:/Users/ASUS/OneDrive/Documents/AKU FAJRI.docx,C:,Users,AKU FAJRI.docx,Lainnya,Yes,ASUS,OneDrive,Documents,AKU FAJRI.docx,C:/Users/ASUS/OneDrive/Documents
Analisis Materi Masker,docx,2020-09-16 18:25:13.000000,18.6,0.0,documents,C:\Users\ASUS\OneDrive\Documents\Analisis Materi Masker.docx,Users\ASUS\OneDrive\Documents\Analisis Materi Masker.docx,C:\Users\ASUS\OneDrive\Documents,Analisis Materi Masker,document,2020,9,menengah,0.0181640625,Kecil (<100KB),Lainnya,C:/Users/ASUS/OneDrive/Documents/Analisis Materi Masker.docx,C:,Users,Analisis Materi Masker.docx,Lainnya,Yes,ASUS,OneDrive,Documents,Analisis Materi Masker.docx,C:/Users/ASUS/OneDrive/Documents
biblioshiny_notifications,csv,2024-11-27 17:15:14.235989,0.38,0.0,documents,C:\Users\ASUS\OneDrive\Documents\biblioshiny_notifications.csv,Users\ASUS\OneDrive\Documents\biblioshiny_notifications.csv,C:\Users\ASUS\OneDrive\Documents,Biblioshiny Notifications,spreadsheet,2024,11,baru,0.00037109375,Kecil (<100KB),Lainnya,C:/Users/ASUS/OneDrive/Documents/biblioshiny_notifications.csv,C:,Users,biblioshiny_notifications.csv,Lainnya,Yes,ASUS,OneDrive,Documents,biblioshiny_notifications.csv,C:/Users/ASUS/OneDrive/Documents
Cover Letter at Mott MacDonald,docx,2025-07-28 13:23:28.501258,14.82,0.0,documents,C:\Users\ASUS\OneDrive\Documents\Cover Letter at Mott MacDonald.docx,Users\ASUS\OneDrive\Documents\Cover Letter at Mott MacDonald.docx,C:\Users\ASUS\OneDrive\Documents,Cover Letter At Mott Macdonald,document,2025,7,baru,0.01447265625,Kecil (<100KB),Lainnya,C:/Users/ASUS/OneDrive/Documents/Cover Letter at Mott MacDonald.docx,C:,Users,Cover Letter at Mott MacDonald.docx,Lainnya,Yes,ASUS,OneDrive,Documents,Cover Letter at Mott MacDonald.docx,C:/Users/ASUS/OneDrive/Documents
desktop,ini,2025-07-30 14:33:17.968781,0.39,0.0,documents,C:\Users\ASUS\OneDrive\Documents\desktop.ini,Users\ASUS\OneDrive\Documents\desktop.ini,C:\Users\ASUS\OneDrive\Documents,Desktop,config,2025,7,baru,0.000380859375,Kecil (<100KB),Lainnya,C:/Users/ASUS/OneDrive/Documents/desktop.ini,C:,Users,desktop.ini,Lainnya,Yes,ASUS,OneDrive,Documents,desktop.ini,C:/Users/ASUS/OneDrive/Documents
Journal on Life,xlsx,2025-07-13 10:56:35.696248,21.19,0.0,documents,C:\Users\ASUS\OneDrive\Documents\Journal on Life.xlsx,Users\ASUS\OneDrive\Documents\Journal on Life.xlsx,C:\Users\ASUS\OneDrive\Documents,Journal On Life,spreadsheet,2025,7,baru,0.020693359375,Kecil (<100KB),Lainnya,C:/Users/ASUS/OneDrive/Documents/Journal on Life.xlsx,C:,Users,Journal on Life.xlsx,Lainnya,Yes,ASUS,OneDrive,Documents,Journal on Life.xlsx,C:/Users/ASUS/OneDrive/Documents
Jurnal Kesendirian-Fajri,docx,2025-07-13 10:56:52.610849,14.38,0.0,documents,C:\Users\ASUS\OneDrive\Documents\Jurnal Kesendirian-Fajri.docx,Users\ASUS\OneDrive\Documents\Jurnal Kesendirian-Fajri.docx,C:\Users\ASUS\OneDrive\Documents,Jurnal Kesendirian Fajri,document,2025,7,baru,0.01404296875,Kecil (<100KB),Lainnya,C:/Users/ASUS/OneDrive/Documents/Jurnal Kesendirian-Fajri.docx,C:,Users,Jurnal Kesendirian-Fajri.docx,Lainnya,Yes,ASUS,OneDrive,Documents,Jurnal Kesendirian-Fajri.docx,C:/Users/ASUS/OneDrive/Documents
kumpulan doa doa,docx,2018-10-12 08:04:21.000000,15.18,0.0,documents,C:\Users\ASUS\OneDrive\Documents\kumpulan doa doa.docx,Users\ASUS\OneDrive\Documents\kumpulan doa doa.docx,C:\Users\ASUS\OneDrive\Documents,Kumpulan Doa Doa,document,2018,10,lama,0.01482421875,Kecil (<100KB),Lainnya,C:/Users/ASUS/OneDrive/Documents/kumpulan doa doa.docx,C:,Users,kumpulan doa doa.docx,Lainnya,Yes,ASUS,OneDrive,Documents,kumpulan doa doa.docx,C:/Users/ASUS/OneDrive/Documents
The Ministry of Energy and Mineral Resources of Indonesia says that net,docx,2024-04-14 13:55:48.000000,19.33,0.0,documents,C:\Users\ASUS\OneDrive\Documents\The Ministry of Energy and Mineral Resources of Indonesia says that net.docx,Users\ASUS\OneDrive\Documents\The Ministry of Energy and Mineral Resources of Indonesia says that net.docx,C:\Users\ASUS\OneDrive\Documents,The Ministry Of Energy And Mineral Resources Of Indonesia Says That Net,document,2024,4,menengah,0.018876953125,Kecil (<100KB),Lainnya,C:/Users/ASUS/OneDrive/Documents/The Ministry of Energy and Mineral Resources of Indonesia says that net.docx,C:,Users,The Ministry of Energy and Mineral Resources of Indonesia says that net.docx,Lainnya,Yes,ASUS,OneDrive,Documents,The Ministry of Energy and Mineral Resources of Indonesia says that net.docx,C:/Users/ASUS/OneDrive/Documents
Audioslave - Like a Stone (Official Video)(1),aup3,2025-04-30 21:14:52.027510,105600.0,0.1007,documents,C:\Users\ASUS\OneDrive\Documents\Audacity\Audioslave - Like a Stone (Official Video)(1).aup3,Users\ASUS\OneDrive\Documents\Audacity\Audioslave - Like a Stone (Official Video)(1).aup3,C:\Users\ASUS\OneDrive\Documents\Audacity,Audioslave Like A Stone Official Video 1,audio,2025,4,baru,103.125,Besar (>1MB),Lainnya,C:/Users/ASUS/OneDrive/Documents/Audacity/Audioslave - Like a Stone (Official Video)(1).aup3,C:,Users,Audioslave - Like a Stone (Official Video)(1).aup3,Lainnya,Yes,ASUS,OneDrive,Documents,Audacity,C:/Users/ASUS/OneDrive/Documents
