FileName,FileExt,DateModified,Size_KB,Size_GB,Source,Path,SimplePath,ParentPath
desktop,.ini,2025-07-30 14:33:17.852927,0.28,0.0,Downloads,C:\Users\ASUS\Downloads\desktop.ini,Users\ASUS\Downloads\desktop.ini,C:\Users\ASUS\Downloads
GoogleDriveSetup,.exe,2025-07-30 09:09:52.649726,331614.59,0.3163,Downloads,C:\Users\ASUS\Downloads\GoogleDriveSetup.exe,Users\ASUS\Downloads\GoogleDriveSetup.exe,C:\Users\ASUS\Downloads
Cover Letter_Graduate 2025 Mott MacDonald,.pdf,2025-07-28 13:09:29.588192,74.41,0.0001,Downloads,C:\Users\ASUS\Downloads\Cover Letter_Graduate 2025 Mott MacDonald.pdf,Users\ASUS\Downloads\Cover Letter_Graduate 2025 Mott MacDonald.pdf,C:\Users\ASUS\Downloads
HCML Well Sample,.xlsx,2025-07-28 11:06:26.555022,275.54,0.0003,Downloads,C:\Users\ASUS\Downloads\HCML Well Sample.xlsx,Users\ASUS\Downloads\HCML Well Sample.xlsx,C:\Users\ASUS\Downloads
Document Location Number List_Final 01_Eko (Autosaved),.xlsx,2025-07-28 11:04:53.067396,1921.3,0.0018,Downloads,C:\Users\ASUS\Downloads\Document Location Number List_Final 01_Eko (Autosaved).xlsx,Users\ASUS\Downloads\Document Location Number List_Final 01_Eko (Autosaved).xlsx,C:\Users\ASUS\Downloads
document-engineer,.ipynb,2025-07-23 20:37:57.419860,76.48,0.0001,Downloads,C:\Users\ASUS\Downloads\Oprek-oprek\document-engineer.ipynb,Users\ASUS\Downloads\Oprek-oprek\document-engineer.ipynb,C:\Users\ASUS\Downloads\Oprek-oprek
notulen-30Jun25,.csv,2025-07-23 20:34:30.272966,81.59,0.0001,Downloads,C:\Users\ASUS\Downloads\Oprek-oprek\notulen-30Jun25.csv,Users\ASUS\Downloads\Oprek-oprek\notulen-30Jun25.csv,C:\Users\ASUS\Downloads\Oprek-oprek
3 5978-rkl-rpl 30Jun25,.docx,2025-07-22 23:28:24.116325,13345.89,0.0127,Downloads,C:\Users\ASUS\Downloads\Oprek-oprek\3 5978-rkl-rpl 30Jun25.docx,Users\ASUS\Downloads\Oprek-oprek\3 5978-rkl-rpl 30Jun25.docx,C:\Users\ASUS\Downloads\Oprek-oprek
2 5978-andal 30Jun25,.docx,2025-07-22 23:28:22.449875,69523.47,0.0663,Downloads,C:\Users\ASUS\Downloads\Oprek-oprek\2 5978-andal 30Jun25.docx,Users\ASUS\Downloads\Oprek-oprek\2 5978-andal 30Jun25.docx,C:\Users\ASUS\Downloads\Oprek-oprek
4 Notulen Sutet 29junii2025_,.docx,2025-07-22 23:28:13.099814,33682.62,0.0321,Downloads,C:\Users\ASUS\Downloads\Oprek-oprek\4 Notulen Sutet 29junii2025_.docx,Users\ASUS\Downloads\Oprek-oprek\4 Notulen Sutet 29junii2025_.docx,C:\Users\ASUS\Downloads\Oprek-oprek
portfolio,.indd,2025-07-20 15:27:29.871475,3980.0,0.0038,Downloads,C:\Users\ASUS\Downloads\project\portfolio.indd,Users\ASUS\Downloads\project\portfolio.indd,C:\Users\ASUS\Downloads\project
portfolio_july2025,.pdf,2025-07-20 15:20:05.394920,1377.98,0.0013,Downloads,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\portfolio_july2025.pdf,Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri\portfolio_july2025.pdf,C:\Users\ASUS\Downloads\Folder CV - Portfolio - Cover Letter Fajri
portfolio_july2025,.pdf,2025-07-20 15:20:05.394920,1377.98,0.0013,Downloads,C:\Users\ASUS\Downloads\Portfolio\portfolio_july2025.pdf,Users\ASUS\Downloads\Portfolio\portfolio_july2025.pdf,C:\Users\ASUS\Downloads\Portfolio
end presentation,.png,2025-07-20 15:11:46.505347,52.95,0.0001,Downloads,C:\Users\ASUS\Downloads\PNG\end presentation.png,Users\ASUS\Downloads\PNG\end presentation.png,C:\Users\ASUS\Downloads\PNG
